vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd,pulled_at,rt_chunk
8644,20260218 17:31,41.873748779296875,-87.70090243690892,86,4361,7,Congress Plaza,19019,False,49,273989629,7 -215,,1,N/A,61950,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8634,20260218 17:31,41.874143759409584,-87.66291459401448,89,4361,7,Congress Plaza,31193,False,60,273989628,7 -208,,1,N/A,61080,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8897,20260218 17:31,41.87810134887695,-87.6356438530816,89,4361,7,Congress Plaza,39967,False,50,273989627,7 -213,,1,N/A,60210,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8191,20260218 17:31,41.87532,-87.62325333333334,14,5912,7,Central,0,False,82,273989572,7 -212,,1,N/A,63960,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1130,20260218 17:31,41.87519833333333,-87.62341333333333,17,5912,7,Central,168,False,81,273989571,7 -253,,1,N/A,62940,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8643,20260218 17:31,41.8770154755691,-87.64103698730469,177,5912,7,Central,7462,False,80,273989570,7 -252,,1,N/A,62040,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
1128,20260218 17:31,41.87231964760638,-87.66905975341797,177,5912,7,Central,16736,False,79,273989569,7 -214,,1,N/A,61140,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8320,20260218 17:31,41.87371063232422,-87.70493863423665,269,5912,7,Central,27651,False,78,273989568,7 -254,,1,N/A,60240,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8107,20260218 17:31,41.87228012084961,-87.76522827148438,176,5912,7,Central,44853,False,76,273989566,7 -255,,1,N/A,58440,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
8901,20260218 17:31,41.876260695918916,-87.64720153808594,179,8959,8,79th,2748,False,88356351,273991302,4 -705,,1,N/A,63030,2026-02-18,2026-02-18 17:31:35 CST,"1,2,3,4,X4,N5,6,7,8,8A"
